央视,#genre#
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
辽宁,#genre#
辽宁都市,http://42.176.185.28:9901/tsfile/live/1005_1.m3u8
辽宁生活,http://42.176.185.28:9901/tsfile/live/1006_1.m3u8
辽宁体育,http://42.176.185.28:9901/tsfile/live/1007_1.m3u8
辽宁教育,http://42.176.185.28:9901/tsfile/live/1008_1.m3u8
辽宁教育,http://123.187.46.90:65000/hls/24/index.m3u8
辽宁经济,http://42.176.185.28:9901/tsfile/live/1009_1.m3u8
辽宁公共,http://42.176.185.28:9901/tsfile/live/1010_1.m3u8
辽宁体育,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=31608RMZHGPUCXX10&programid=4200000611
辽宁生活,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=31608RMZHGPUCXX10&programid=4200000073
辽宁北方,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=31608RMZHGPUCXX10&programid=4200000071
影视,#genre#
4K影视,http://nas.jdshipin.com:8801/4kys.php
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8
CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
星光影视,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
淘剧场,http://222.128.98.255:4000/rtp/239.3.1.95:8001
淘电影,http://222.128.98.255:4000/rtp/239.3.1.250:8001
豆瓣电影,http://epg.112114.xyz/douyu/8770422
贝爷影厅1,http://epg.112114.xyz/douyu/252802
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
淘精彩,http://beifeng.site:4000/udp/239.3.1.178:8001
淘娱乐,http://beifeng.site:4000/udp/239.3.1.100:8001
淘剧场,http://beifeng.site:4000/udp/239.3.1.95:8001
淘BABY,http://beifeng.site:4000/udp/239.3.1.238:8001
淘电影,http://beifeng.site:4000/udp/239.3.1.250:8001
淘精彩,http://happy2015.synology.me:4000/udp/239.3.1.178:8001
淘娱乐,http://happy2015.synology.me:4000/udp/239.3.1.100:8001
淘剧场,http://happy2015.synology.me:4000/udp/239.3.1.95:8001
淘BABY,http://happy2015.synology.me:4000/udp/239.3.1.238:8001
淘电影,http://happy2015.synology.me:4000/udp/239.3.1.250:8001
动作电影,http://openhls-tct.douyucdn2.cn/dyliveflv3/6140589rFs2vOfeW.m3u8?txSecret=0549c0f45a57601dfa5cc52a06c21530&txTime=647de853&token=cpn-androidmpro-0-6140589-4dc15246ddb745922acd4762cc6fbe50&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=349940518
湖南,#genre#
湖南卫视,http://58.205.220.58:8088/tlivectfree-cdn.ysp.CCTV.cn/ysp/2000296202.m3u8
广东,#genre#
广东卫视,http://php.ilpl.me/gdtv/gdws.m3u8
